"exp","synID","comID","taxa","dpi","sample","cfu_total","log_total"
"e1","S2","Com08","Methylobacterium","14dpi","1",27900000,7.4456042032736
"e1","S2","Com08","Methylobacterium","14dpi","2",20500000,7.31175386105575
"e1","S2","Com08","Methylobacterium","14dpi","3",2.3e+07,7.36172783601759
"e1","S2","Com08","Methylobacterium","14dpi","4",10900000,7.03742649794062
"e1","S2","Com08","Sphingomonas","07dpi","1",1.05e+08,8.02118929906994
"e1","S2","Com08","Sphingomonas","07dpi","2",86800000,7.93851972517649
"e1","S2","Com08","Sphingomonas","07dpi","3",48600000,7.68663626926229
"e1","S2","Com08","Sphingomonas","07dpi","4",47200000,7.67394199863409
"e1","S2","Com08","Sphingomonas","14dpi","1",1.07e+08,8.02938377768521
"e1","S2","Com08","Sphingomonas","14dpi","2",1.21e+08,8.08278537031645
"e1","S2","Com08","Sphingomonas","14dpi","3",3.1e+07,7.49136169383427
"e1","S2","Com08","Sphingomonas","14dpi","4",59200000,7.77232170672292
"e1","S2","Com09","Methylobacterium","07dpi","1",30600000,7.48572142648158
"e1","S2","Com09","Methylobacterium","07dpi","2",65600000,7.81690383937566
"e1","S2","Com09","Methylobacterium","07dpi","3",60200000,7.77959649125782
"e1","S2","Com09","Methylobacterium","07dpi","4",6.7e+07,7.82607480270083
"e1","S2","Com09","Methylobacterium","14dpi","1",61400000,7.78816837114117
"e1","S2","Com09","Methylobacterium","14dpi","2",67100000,7.82672252016899
"e1","S2","Com09","Methylobacterium","14dpi","3",37400000,7.57287160220048
"e1","S2","Com09","Methylobacterium","14dpi","4",43800000,7.6414741105041
"e1","S2","Com09","Sphingomonas","07dpi","1",28100000,7.44870631990508
"e1","S2","Com09","Sphingomonas","07dpi","2",30600000,7.48572142648158
"e1","S2","Com09","Sphingomonas","07dpi","3",43300000,7.63648789635337
"e1","S2","Com09","Sphingomonas","07dpi","4",47600000,7.67760695272049
"e1","S2","Com09","Sphingomonas","14dpi","1",93900000,7.97266559226611
"e1","S2","Com09","Sphingomonas","14dpi","2",1.42e+08,8.15228834438306
"e1","S2","Com09","Sphingomonas","14dpi","3",1.87e+08,8.2718416065365
"e1","S2","Com09","Sphingomonas","14dpi","4",26700000,7.42651126136457
"e1","S2","Com11","Sphingomonas","07dpi","1",96700000,7.985426474083
"e1","S2","Com11","Sphingomonas","07dpi","2",236400000,8.37364747220922
"e1","S2","Com11","Sphingomonas","07dpi","3",106500000,8.02734960777476
"e1","S2","Com11","Sphingomonas","07dpi","4",131600000,8.11925588927794
"e1","S2","Com11","Sphingomonas","14dpi","1",127500000,8.10551018476997
"e1","S2","Com11","Sphingomonas","14dpi","2",112400000,8.05076631123304
"e1","S2","Com11","Sphingomonas","14dpi","3",73300000,7.86510397464113
"e1","S2","Com11","Sphingomonas","14dpi","4",128300000,8.10822665637493
"e1","S2","Com12","Methylobacterium","07dpi","1",1.3e+07,7.11394335230684
"e1","S2","Com12","Methylobacterium","07dpi","2",3950000,6.59659709562646
"e1","S2","Com12","Methylobacterium","07dpi","3",9910000,6.99607365448528
"e1","S2","Com12","Methylobacterium","07dpi","4",16100000,7.20682587603185
"e1","S2","Com12","Methylobacterium","14dpi","1",8.7e+07,7.93951925261862
"e1","S2","Com12","Methylobacterium","14dpi","2",70400000,7.84757265914211
"e1","S2","Com12","Methylobacterium","14dpi","3",29200000,7.46538285144842
"e1","S2","Com12","Methylobacterium","14dpi","4",49300000,7.69284691927723
"e1","S2","Com12","Sphingomonas","07dpi","1",61200000,7.78675142214556
"e1","S2","Com12","Sphingomonas","07dpi","2",14800000,7.17026171539496
