"dpi","synID","comID","syncom","strain","mean","sd","cv"
"14dpi","S2","Com05","S2.05","mr01",10.4188080438136,0.29827259877695,2.8628284303026
"14dpi","S2","Com06","S2.06","meL92",10.4136149705751,0.278875692339355,2.67799119832404
"14dpi","S2","Com06","S2.06","smfr1",10.0012736364987,0.308446512380939,3.08407232510161
"14dpi","S2","Com08","S2.08","meL85",10.2430047283146,0.355147947392388,3.46722428440024
"14dpi","S2","Com08","S2.08","smfr1",10.3468150107913,0.241344024742874,2.33254411614746
"14dpi","S2","Com09","S2.09","mr01",10.6170105412578,0.160119650992857,1.50814252628488
"14dpi","S2","Com09","S2.09","smfr1",10.2597113551238,0.175728482800665,1.71280142996328
"14dpi","S2","Com11","S2.11","smfr1",10.1903094935811,0.265687594475054,2.60725736193206
"14dpi","S2","Com11","S2.11","spfa2",10.3940301801548,0.188778902739525,1.81622430825685
"14dpi","S2","Com12","S2.12","meL85",10.2690571847529,0.439782362084128,4.28259726449959
"14dpi","S2","Com12","S2.12","spfa2",10.2533990014215,0.288347672000904,2.81221546104787
"14dpi","S2","Com14","S2.14","mr01",10.5058097766458,0.186572385259338,1.77589723425305
"14dpi","S2","Com14","S2.14","spfa2",10.1479929107251,0.365216026449894,3.59889910904362
"14dpi","S2","Com15","S2.15","meL92",10.3551244060162,0.176524755687709,1.70470917360636
"14dpi","S2","Com15","S2.15","spfa2",9.81524985330787,0.515967663589515,5.25679601946788
"14dpi","S3","Com01","S3.01","meL85",9.47975230915803,0.863317366345531,9.10696121787394
"14dpi","S3","Com01","S3.01","smfr1",10.2493688950463,0.23714901704741,2.31379140975235
"14dpi","S3","Com01","S3.01","spfa2",9.95056851594912,0.400969066308158,4.02960962145501
"14dpi","S3","Com02","S3.02","meL92",10.0499509237056,0.321991655709609,3.20391271712684
"14dpi","S3","Com02","S3.02","smfr1",10.4448951262215,0.243051526684113,2.32698867482109
"14dpi","S3","Com02","S3.02","spfa2",10.0837940711878,0.178323880904075,1.76842049376628
"14dpi","S3","Com03","S3.03","mr01",10.4498215264213,0.409534644343594,3.91905874476542
"14dpi","S3","Com03","S3.03","smfr1",10.3774696622202,0.149518009241083,1.44079447213816
"14dpi","S3","Com03","S3.03","spfa2",10.02803133391,0.297112383868457,2.9628186627595
"14dpi","S3","Com04","S3.04","meL85",9.16322426571025,0.891368475918631,9.7276728154982
"14dpi","S3","Com04","S3.04","meL92",9.97129103578153,0.566443386594107,5.68074268980266
"14dpi","S3","Com04","S3.04","smfr1",10.3775078553217,0.205283561792016,1.97815857770461
"14dpi","S3","Com05","S3.05","meL85",8.78312138032558,0.729828914462013,8.30944812053775
"14dpi","S3","Com05","S3.05","mr01",10.4315665054529,0.43159650987572,4.13740840985013
"14dpi","S3","Com05","S3.05","smfr1",10.6827765379043,0.265957712055261,2.48959351636345
"14dpi","S3","Com06","S3.06","meL92",9.88265105143564,0.340317685809174,3.44358698934065
"14dpi","S3","Com06","S3.06","mr01",10.1358630223239,0.376989760454486,3.71936518502842
"14dpi","S3","Com06","S3.06","smfr1",10.5211844543499,0.359101757562364,3.41313051891126
"14dpi","S3","Com07","S3.07","meL85",9.49347776357549,0.888311016012074,9.35706637898642
"14dpi","S3","Com07","S3.07","meL92",10.0957583835974,0.516221878924847,5.11325508506179
"14dpi","S3","Com07","S3.07","spfa2",10.1905222908326,0.296541957019801,2.909978002664
"14dpi","S3","Com08","S3.08","meL85",9.6685008154156,0.639308974700716,6.61228650548793
"14dpi","S3","Com08","S3.08","mr01",9.97950288817375,0.485995158951592,4.86993354676537
"14dpi","S3","Com08","S3.08","spfa2",9.96526272204768,0.253620655296241,2.54504735469861
"14dpi","S3","Com09","S3.09","meL92",9.31471492828492,0.620462944429772,6.66110502797765
"14dpi","S3","Com09","S3.09","mr01",10.0784301726675,0.474147945966302,4.70458134692624
"14dpi","S3","Com09","S3.09","spfa2",10.1429878048839,0.277834872266939,2.73918176390945
"14dpi","S3","Com10","S3.10","meL85",9.05415182909801,0.810592444094367,8.95271538841777
"14dpi","S3","Com10","S3.10","meL92",9.85845284390046,0.640510871513083,6.49707293482034
"14dpi","S3","Com10","S3.10","mr01",10.1900730508736,0.171549523744459,1.68349650574637
