"exp","dpi","synID","comID","syncom","strain","rep","cell","total_area","cell_area","logCell"
"e2","07dpi","S3","Com03","S3.03","smfr1",3,3869,0.00250479712,1544636.07815071,6.18882617446117
"e2","07dpi","S3","Com03","S3.03","smfr1",4,3456,0.00250479712,1379752.46474253,6.13980117854678
"e2","07dpi","S3","Com03","S3.03","spfa2",1,1894,0.002129077552,889587.135151947,5.94918849369288
"e2","07dpi","S3","Com03","S3.03","spfa2",2,6583,0.00250479712,2628156.9662616,6.419651299832
"e2","07dpi","S3","Com03","S3.03","spfa2",3,2711,0.00250479712,1082323.18631858,6.03435696232041
"e2","07dpi","S3","Com03","S3.03","spfa2",4,874,0.001753357984,498472.079276196,5.69764083736007
"e2","07dpi","S3","Com04","S3.04","meL85",1,703,0.00187859784,374215.271108797,5.57312150636805
"e2","07dpi","S3","Com04","S3.04","meL85",2,9,0.000375719568,23954.0358462245,4.37937869512357
"e2","07dpi","S3","Com04","S3.04","meL85",3,2590,0.001753357984,1477165.54385051,6.16942916880692
"e2","07dpi","S3","Com04","S3.04","meL85",4,4,0.000500959424,7984.67861540818,3.9022574404039
"e2","07dpi","S3","Com04","S3.04","meL92",1,8366,0.002003837696,4174988.83103155,6.62065531799259
"e2","07dpi","S3","Com04","S3.04","meL92",2,2300,0.00187859784,1224317.38769592,6.08789401736581
"e2","07dpi","S3","Com04","S3.04","meL92",3,434,0.001377638416,315031.865371559,5.49835448475819
"e2","07dpi","S3","Com04","S3.04","meL92",4,4100,0.001753357984,2338370.16594097,6.3689132614454
"e2","07dpi","S3","Com04","S3.04","smfr1",1,4605,0.002003837696,2298090.31399717,6.36136709228085
"e2","07dpi","S3","Com04","S3.04","smfr1",2,3322,0.00187859784,1768340.15735907,6.2475658094636
"e2","07dpi","S3","Com04","S3.04","smfr1",3,2571,0.00187859784,1368573.91468096,6.13626825799108
"e2","07dpi","S3","Com04","S3.04","smfr1",4,8134,0.00187859784,4329825.05718201,6.63647034941679
"e2","07dpi","S3","Com05","S3.05","meL85",1,13,0.000751439136,17300.1370000511,4.2380495423271
"e2","07dpi","S3","Com05","S3.05","meL85",2,1763,0.00187859784,938465.893264308,5.97241849364754
"e2","07dpi","S3","Com05","S3.05","meL85",3,675,0.00187859784,359310.537693368,5.55546995417925
"e2","07dpi","S3","Com05","S3.05","meL85",4,1,0.000125239856,7984.67861540818,3.9022574404039
"e2","07dpi","S3","Com05","S3.05","mr01",1,7993,0.00187859784,4254769.07819717,6.6288759943181
"e2","07dpi","S3","Com05","S3.05","mr01",2,4932,0.00187859784,2625362.32874621,6.41918924927192
"e2","07dpi","S3","Com05","S3.05","mr01",3,7618,0.00187859784,4055152.11281197,6.60800714967315
"e2","07dpi","S3","Com05","S3.05","mr01",4,423,0.001753357984,241251.36102269,5.38246977210071
"e2","07dpi","S3","Com05","S3.05","smfr1",1,6326,0.00187859784,3367405.12807148,6.52729536892793
"e2","07dpi","S3","Com05","S3.05","smfr1",2,10650,0.00187859784,5669121.81693981,6.75351578912298
"e2","07dpi","S3","Com05","S3.05","smfr1",3,7660,0.00187859784,4077509.21293511,6.61039495098083
"e2","07dpi","S3","Com05","S3.05","smfr1",4,7007,0.00187859784,3729909.53721101,6.5716982988418
"e2","07dpi","S3","Com06","S3.06","meL92",1,2143,0.00187859784,1140744.41818798,6.05718835239005
"e2","07dpi","S3","Com06","S3.06","meL92",2,1719,0.00187859784,915044.169325778,5.96144205803527
"e2","07dpi","S3","Com06","S3.06","meL92",3,4677,0.00187859784,2489622.79228427,6.39613355125673
"e2","07dpi","S3","Com06","S3.06","meL92",4,1623,0.00187859784,863942.226187165,5.93648470117445
"e2","07dpi","S3","Com06","S3.06","mr01",1,485,0.001628118128,297889.932959459,5.47405582669933
"e2","07dpi","S3","Com06","S3.06","mr01",2,4253,0.00187859784,2263922.54342207,6.35486156406225
"e2","07dpi","S3","Com06","S3.06","mr01",3,7328,0.00187859784,3900781.65958074,6.59115164200802
"e2","07dpi","S3","Com06","S3.06","mr01",4,2671,0.00187859784,1421805.10545035,6.15284006936959
"e2","07dpi","S3","Com06","S3.06","smfr1",1,1339,0.001753357984,763677.476145111,5.88290998173767
"e2","07dpi","S3","Com06","S3.06","smfr1",2,4391,0.00187859784,2337381.58668382,6.36872961845261
"e2","07dpi","S3","Com06","S3.06","smfr1",3,6786,0.00187859784,3612268.60561066,6.55778003665732
"e2","07dpi","S3","Com06","S3.06","smfr1",4,9244,0.00187859784,4920691.27472221,6.69202611815529
"e2","07dpi","S3","Com07","S3.07","meL85",1,7,0.000500959424,13973.1875769643,4.1452954890902
"e2","07dpi","S3","Com07","S3.07","meL85",2,184,0.00187859784,97945.3910156737,4.99098400435776
