exp,sample,dpi,synID,comID,syncom,strain,taxa,channel,cfu
e1,2,14dpi,S2,Com08,S2.08,meL85,Methylobacterium,C0,2.05E+07
e1,3,14dpi,S2,Com08,S2.08,meL85,Methylobacterium,C0,2.30E+07
e1,4,14dpi,S2,Com08,S2.08,meL85,Methylobacterium,C0,1.09E+07
e1,1,07dpi,S2,Com12,S2.12,meL85,Methylobacterium,C0,1.30E+07
e1,2,07dpi,S2,Com12,S2.12,meL85,Methylobacterium,C0,3.95E+06
e1,3,07dpi,S2,Com12,S2.12,meL85,Methylobacterium,C0,9.91E+06
e1,4,07dpi,S2,Com12,S2.12,meL85,Methylobacterium,C0,1.61E+07
e2,1,07dpi,S2,Com12,S2.12,meL85,Methylobacterium,C0,5.51E+06
e2,2,07dpi,S2,Com12,S2.12,meL85,Methylobacterium,C0,9.68E+06
e2,3,07dpi,S2,Com12,S2.12,meL85,Methylobacterium,C0,6.06E+06
e2,4,07dpi,S2,Com12,S2.12,meL85,Methylobacterium,C0,1.05E+06
e1,1,14dpi,S2,Com12,S2.12,meL85,Methylobacterium,C0,8.70E+07
e1,2,14dpi,S2,Com12,S2.12,meL85,Methylobacterium,C0,7.04E+07
e1,3,14dpi,S2,Com12,S2.12,meL85,Methylobacterium,C0,2.92E+07
e1,4,14dpi,S2,Com12,S2.12,meL85,Methylobacterium,C0,4.93E+07
e1,1,07dpi,S2,Com03,S2.03,meL92,Methylobacterium,C1,8.37E+06
e1,2,07dpi,S2,Com03,S2.03,meL92,Methylobacterium,C1,1.72E+07
e1,3,07dpi,S2,Com03,S2.03,meL92,Methylobacterium,C1,1.30E+07
e1,4,07dpi,S2,Com03,S2.03,meL92,Methylobacterium,C1,1.01E+07
e2,1,07dpi,S2,Com03,S2.03,meL92,Methylobacterium,C1,8.85E+06
e2,2,07dpi,S2,Com03,S2.03,meL92,Methylobacterium,C1,9.47E+06
e2,3,07dpi,S2,Com03,S2.03,meL92,Methylobacterium,C1,6.83E+06
e2,4,07dpi,S2,Com03,S2.03,meL92,Methylobacterium,C1,1.07E+07
e1,1,14dpi,S2,Com03,S2.03,meL92,Methylobacterium,C1,1.52E+06
e1,2,14dpi,S2,Com03,S2.03,meL92,Methylobacterium,C1,4.64E+06
e1,3,14dpi,S2,Com03,S2.03,meL92,Methylobacterium,C1,5.03E+06
e1,4,14dpi,S2,Com03,S2.03,meL92,Methylobacterium,C1,3.40E+06
e2,1,14dpi,S2,Com03,S2.03,meL92,Methylobacterium,C1,2.51E+08
e2,2,14dpi,S2,Com03,S2.03,meL92,Methylobacterium,C1,1.68E+08
e2,3,14dpi,S2,Com03,S2.03,meL92,Methylobacterium,C1,1.74E+08
e2,4,14dpi,S2,Com03,S2.03,meL92,Methylobacterium,C1,6.16E+07
e1,1,07dpi,C,Com04,C.04,meL92,Methylobacterium,C0,3.15E+07
e1,2,07dpi,C,Com04,C.04,meL92,Methylobacterium,C0,2.93E+07
e1,3,07dpi,C,Com04,C.04,meL92,Methylobacterium,C0,1.60E+07
e1,4,07dpi,C,Com04,C.04,meL92,Methylobacterium,C0,4.07E+06
e2,1,07dpi,C,Com04,C.04,meL92,Methylobacterium,C0,4.51E+07
e2,2,07dpi,C,Com04,C.04,meL92,Methylobacterium,C0,3.56E+07
e2,3,07dpi,C,Com04,C.04,meL92,Methylobacterium,C0,2.89E+07
e2,4,07dpi,C,Com04,C.04,meL92,Methylobacterium,C0,7.98E+06
e1,1,07dpi,C,Com04,C.04,meL92,Methylobacterium,C1,1.67E+07
e1,2,07dpi,C,Com04,C.04,meL92,Methylobacterium,C1,2.60E+07
e1,3,07dpi,C,Com04,C.04,meL92,Methylobacterium,C1,1.02E+07
e1,4,07dpi,C,Com04,C.04,meL92,Methylobacterium,C1,3.00E+06
e2,1,07dpi,C,Com04,C.04,meL92,Methylobacterium,C1,7.40E+07
e2,2,07dpi,C,Com04,C.04,meL92,Methylobacterium,C1,3.09E+07
e2,3,07dpi,C,Com04,C.04,meL92,Methylobacterium,C1,3.78E+07
e2,4,07dpi,C,Com04,C.04,meL92,Methylobacterium,C1,7.98E+06
e1,1,14dpi,C,Com04,C.04,meL92,Methylobacterium,C0,2.48E+06
e1,2,14dpi,C,Com04,C.04,meL92,Methylobacterium,C0,5.72E+06
e1,3,14dpi,C,Com04,C.04,meL92,Methylobacterium,C0,3.30E+06
